#group,false,false,false,false
#datatype,double,string,string,dateTime:RFC3339
#default,,,,
,price,price_str,symbol,time
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.512Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.513Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.516Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.524Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:22.417Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:22.641Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:22.715Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:23.303Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:26.279Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:26.384Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:27.351Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:27.503Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:28.019Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:28.211Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:28.355Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:29.732Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:30.139Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:30.239Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:30.599Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:31.009Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:31.179Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:31.321Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:31.336Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:31.457Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:31.464Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:31.525Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:31.588Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:31.622Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:31.967Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:31.999Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:32.398Z
